HTS Number,Country,District,Year,Month,calculated_duties,charges_ins_freight,customs_value,landed_duty_paid,qty_first_kilograms,qty_first_number,qty_second_kilograms,kg_total,date
730630,Canada,"Buffalo, NY",2022,July,0,41360,3968818,4010178,1995081.0,0.0,0.0,1995081.0,2022-07-01
730630,Canada,"Detroit, MI",2022,July,0,197814,17093388,17291202,8899209.0,0.0,0.0,8899209.0,2022-07-01
730630,Canada,"Great Falls, MT",2022,July,0,20297,1240605,1260902,826211.0,0.0,0.0,826211.0,2022-07-01
730630,Canada,"Ogdensburg, NY",2022,July,0,10721,3136063,3146784,1330125.0,0.0,0.0,1330125.0,2022-07-01
730630,Canada,"Pembina, ND",2022,July,0,19289,3953572,3972861,1725817.0,0.0,0.0,1725817.0,2022-07-01
730630,Canada,"Seattle, WA",2022,July,0,150,49353,49503,48385.0,0.0,0.0,48385.0,2022-07-01
730630,Canada,"St. Albans, VT",2022,July,0,7043,1913539,1920582,766831.0,0.0,0.0,766831.0,2022-07-01
730630,Canada,"Buffalo, NY",2022,August,0,41317,4111407,4152724,2234202.0,0.0,0.0,2234202.0,2022-08-01
730630,Canada,"Detroit, MI",2022,August,0,179631,18369878,18549509,9477023.0,0.0,0.0,9477023.0,2022-08-01
730630,Canada,"Great Falls, MT",2022,August,0,21921,1938447,1960368,1467789.0,0.0,0.0,1467789.0,2022-08-01
730630,Canada,"Ogdensburg, NY",2022,August,0,9068,2275038,2284106,1048396.0,0.0,0.0,1048396.0,2022-08-01
730630,Canada,"Pembina, ND",2022,August,0,13782,2961585,2975367,1286325.0,0.0,0.0,1286325.0,2022-08-01
730630,Canada,"Seattle, WA",2022,August,0,700,135478,136178,93966.0,0.0,0.0,93966.0,2022-08-01
730630,Canada,"St. Albans, VT",2022,August,0,8636,2192623,2201259,927256.0,0.0,0.0,927256.0,2022-08-01
730630,Canada,"Buffalo, NY",2022,September,0,51315,4267053,4318368,2267977.0,0.0,0.0,2267977.0,2022-09-01
730630,Canada,"Detroit, MI",2022,September,0,199487,16720653,16920140,9609181.0,0.0,0.0,9609181.0,2022-09-01
730630,Canada,"Duluth, MN",2022,September,0,15,2748,2763,759.0,0.0,0.0,759.0,2022-09-01
730630,Canada,"Great Falls, MT",2022,September,0,11512,1145908,1157420,766841.0,0.0,0.0,766841.0,2022-09-01
730630,Canada,"Ogdensburg, NY",2022,September,0,5408,1105841,1111249,530365.0,0.0,0.0,530365.0,2022-09-01
730630,Canada,"Pembina, ND",2022,September,0,5296,1730343,1735639,711965.0,0.0,0.0,711965.0,2022-09-01
730630,Canada,"Seattle, WA",2022,September,0,152,84639,84791,38768.0,0.0,0.0,38768.0,2022-09-01
730630,Canada,"St. Albans, VT",2022,September,0,6542,1438679,1445221,620720.0,0.0,0.0,620720.0,2022-09-01
730630,Canada,"Anchorage, AK",2022,October,0,1000,110263,111263,10412.0,0.0,0.0,10412.0,2022-10-01
730630,Canada,"Buffalo, NY",2022,October,0,37862,3405171,3443033,1880591.0,0.0,0.0,1880591.0,2022-10-01
730630,Canada,"Cleveland, OH",2022,October,0,116,43578,43694,42724.0,0.0,0.0,42724.0,2022-10-01
730630,Canada,"Detroit, MI",2022,October,0,236004,19461668,19697672,11906711.0,0.0,0.0,11906711.0,2022-10-01
730630,Canada,"Great Falls, MT",2022,October,0,19417,1258871,1278288,881242.0,0.0,0.0,881242.0,2022-10-01
730630,Canada,"Laredo, TX",2022,October,0,8762,75028,83790,32651.0,0.0,0.0,32651.0,2022-10-01
730630,Canada,"Ogdensburg, NY",2022,October,0,11201,2515747,2526948,1239755.0,0.0,0.0,1239755.0,2022-10-01
730630,Canada,"Pembina, ND",2022,October,0,8448,1751962,1760410,742656.0,0.0,0.0,742656.0,2022-10-01
730630,Canada,"Portland, ME",2022,October,0,182,11394,11576,7127.0,0.0,0.0,7127.0,2022-10-01
730630,Canada,"Seattle, WA",2022,October,0,150,8308,8458,8145.0,0.0,0.0,8145.0,2022-10-01
730630,Canada,"St. Albans, VT",2022,October,0,8755,1925609,1934364,924959.0,0.0,0.0,924959.0,2022-10-01
730630,Canada,"Buffalo, NY",2022,November,0,28569,4001400,4029969,2595401.0,0.0,0.0,2595401.0,2022-11-01
