HTS Number,Country,date,landed_duty_paid,customs_value,charges_ins_freight,calculated_duties,kg_total,qty_first_number,qty_second_kilograms,usd_per_kg_landed,usd_per_kg_customs,freight_share,effective_duty_rate,commodity,kg_per_piece,implausible_unit,low_volume,reliable
848210,Brazil,2026-04-01,391672,293258,671,97743,13380.0,64619.0,13380.0,29.272944693572498,21.91763826606876,0.001713168161114402,0.33330037032237825,8482.10 - rolamentos de esferas,0.2070598430802086,False,False,True
848210,Brazil,2026-05-01,402913,303040,9141,90732,14569.0,125279.0,14569.0,27.655501407097262,20.80032946667582,0.022687279884243,0.2994060190073918,8482.10 - rolamentos de esferas,0.11629243528444512,False,False,True
848210,Brazil,2026-06-01,498033,379187,2764,116082,20525.0,105717.0,20525.0,24.264701583434835,18.474397076735688,0.005549833043191917,0.30613391281874114,8482.10 - rolamentos de esferas,0.19415042046217731,False,False,True
848210,Canada,2022-01-01,3754518,3601930,65723,86865,215081.0,1107691.0,215081.0,17.456297859876045,16.746853511002833,0.017505043257217037,0.024116237683686245,8482.10 - rolamentos de esferas,0.19417057645137498,False,False,True
848210,Canada,2022-02-01,4397368,4207980,84204,105184,253562.0,1252010.0,253562.0,17.34237780109007,16.59546777513981,0.019148727147693802,0.02499631652241693,8482.10 - rolamentos de esferas,0.20252394150206468,False,False,True
848210,Canada,2022-03-01,6509767,6212138,101615,196014,426201.0,2378525.0,426201.0,15.273936475981989,14.57560634536287,0.015609621665414446,0.0315533878996249,8482.10 - rolamentos de esferas,0.1791871012497241,False,False,True
848210,Canada,2022-04-01,5347757,5099837,56537,191383,299285.0,2016967.0,299285.0,17.86844312277595,17.0400688307132,0.010572095927320557,0.03752727783260524,8482.10 - rolamentos de esferas,0.1483836869914084,False,False,True
848210,Canada,2022-05-01,7472262,7166265,85161,220836,329311.0,2010577.0,329311.0,22.69059339044247,21.76138968938177,0.011396950481661377,0.030816052713652092,8482.10 - rolamentos de esferas,0.16378930028544045,False,False,True
848210,Canada,2022-06-01,5098597,4870370,78471,149756,295621.0,1756069.0,295621.0,17.247073110502974,16.475047442502394,0.015390704540876637,0.030748382566416925,8482.10 - rolamentos de esferas,0.16834247401440378,False,False,True
848210,Canada,2022-07-01,4137558,3942557,53597,141404,233572.0,1076955.0,233572.0,17.71427225866114,16.879407634476735,0.012953776116250213,0.03586606357244803,8482.10 - rolamentos de esferas,0.21688185671639018,False,False,True
848210,Canada,2022-08-01,5237665,4953156,99075,185434,281109.0,1610651.0,281109.0,18.632149806658628,17.620054854166888,0.018915871862748,0.03743754487038163,8482.10 - rolamentos de esferas,0.1745312920055307,False,False,True
848210,Canada,2022-09-01,4766907,4558506,55839,152562,253955.0,934938.0,253955.0,18.770675907148906,17.95005414345061,0.011713884915313012,0.03346754397164334,8482.10 - rolamentos de esferas,0.27162763734065787,False,False,True
848210,Canada,2022-10-01,4523116,4304790,58115,160211,237700.0,1214941.0,237700.0,19.02867480016828,18.110180900294488,0.012848443418209924,0.03721691418164417,8482.10 - rolamentos de esferas,0.19564736065372723,False,False,True
848210,Canada,2022-11-01,4118485,3917591,39940,160954,211403.0,1339798.0,211403.0,19.48167717582059,18.53138791786304,0.00969774079546241,0.041084942251500986,8482.10 - rolamentos de esferas,0.15778721867027717,False,False,True
848210,Canada,2022-12-01,4301410,4123729,34758,142923,232642.0,956530.0,232642.0,18.48939572390196,17.72564283319435,0.008080606126828179,0.03465867907420687,8482.10 - rolamentos de esferas,0.2432145358744629,False,False,True
