Consignee,Country of Destination,Country of Origin,Date,HS Code,HS Product Description,Notify Party Name,Port of Destination,Port of Origin,Product Description,Quantity,Shipper,Unit,Value $,_row_key,_page,_source_url
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"ZENITH BRAND HIGH FREQUENCY INDUCTION WELDED,SHIPPER LOAD AND COUNT",30,-,,0,25153195252077899,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"PIPE ASM-F/TNK FIL (W/ FIL HOSE),HS CODE",44,-,,0,25153195251598636,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES (FOR E,XAMPL - PCS IN X ' CONTAINERS WELDED,BLACK STEEL ROUND PIPES. ALL OTHER DETAILS AR,E AS PER PROFORMA INVOICE NO.AMPL/EXP/ -,/ DT. . . . INVOICE NO DT.,. . SHIPPING BILL NO DT,/ / HS CODE IEC NO",100,-,,0,25153195251574859,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF,IRON OR NON ALLOY STEEL (GALVANISED PIPES,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",39,-,,0,25153195251276123,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"GALVANIZED & BLACK PIPE ASTM A SCH GR A,SHIPPER LOAD AND COUNT",33,-,,0,25153195251085582,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF,IRON OR NON ALLOY STEEL (GALVANISED PIPES,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",39,-,,0,25153195250836924,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF,IRON OR NON ALLOY STEEL (GALVANISED PIPES,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",47,-,,0,25153195250836821,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,PRECISION STEEL TUBES CDW,23,-,,0,25153195250886489,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,VARIOUS SIZES OF STEEL PIPE,195,-,,0,25153195250734951,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF,IRON OR NON ALLOY STEEL (GALVANISED PIPES,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",47,-,,0,25153195250556985,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
